pulse_num,min_interval_ns,max_interval_ns,max_torelance_error_ns,consider_amp,max_amp_diff_ratio,max_amp_torelance_error,outdoor_wall_distance_m,outdoor_wall_reflectivity,spoofer_frequency_mhz,spoofer_pulse_width_ns,noise_ratio,ASR,Lost Point Rate
1,250,450,20,false,0.4,0.05,50.0,0.8,30.0,5,0.03,0.9952566964285714,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,0.0,5,0.03,0.0,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,2.0,5,0.03,0.2036830357142857,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,4.0,5,0.03,0.3345424107142857,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,6.0,5,0.03,0.5063244047619048,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,8.0,5,0.03,0.5441778273809523,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,10.0,5,0.03,0.7462797619047619,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,12.0,5,0.03,0.8269159226190477,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,14.0,5,0.03,0.8797433035714286,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,16.0,5,0.03,0.9119233630952381,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,18.0,5,0.03,0.9144345238095238,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,20.0,5,0.03,1.0,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,22.0,5,0.03,0.9668898809523809,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,24.0,5,0.03,0.990234375,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,26.0,5,0.03,0.9798177083333334,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,28.0,5,0.03,0.9889322916666666,0.0
2,250,450,20,false,0.4,0.05,50.0,0.8,30.0,5,0.03,0.9951636904761905,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,0.0,5,0.03,0.0,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,2.0,5,0.03,0.0502232142857143,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,4.0,5,0.03,0.15048363095238093,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,6.0,5,0.03,0.35342261904761907,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,8.0,5,0.03,0.36309523809523814,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,10.0,5,0.03,0.5553385416666667,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,12.0,5,0.03,0.7371651785714286,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,14.0,5,0.03,0.8138950892857143,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,16.0,5,0.03,0.8669084821428572,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,18.0,5,0.03,0.8832775297619048,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,20.0,5,0.03,1.0,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,22.0,5,0.03,0.9477306547619048,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,24.0,5,0.03,0.9895833333333334,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,26.0,5,0.03,0.9777715773809523,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,28.0,5,0.03,0.9878162202380952,0.0
3,250,450,20,false,0.4,0.05,50.0,0.8,30.0,5,0.03,0.9937686011904762,0.0
2,250,450,20,true,0.4,0.0,50.0,0.8,0.0,5,0.0,0.0,0.0
2,250,450,20,true,0.4,0.0,50.0,0.8,0.0,5,0.02,0.0959821428571429,0.0959821428571429
2,250,450,20,true,0.4,0.0,50.0,0.8,0.0,5,0.04,0.3328683035714286,0.3328683035714286
2,250,450,20,true,0.4,0.0,50.0,0.8,0.0,5,0.06,0.4748883928571429,0.4748883928571429
2,250,450,20,true,0.4,0.0,50.0,0.8,0.0,5,0.08,0.5802641369047619,0.5802641369047619
2,250,450,20,true,0.4,0.0,50.0,0.8,0.0,5,0.1,0.6462983630952381,0.6462983630952381
2,250,450,20,true,0.4,0.0,50.0,0.8,2.0,5,0.0,0.03338913690476186,0.0
2,250,450,20,true,0.4,0.0,50.0,0.8,2.0,5,0.02,0.1261160714285714,0.09105282738095233
2,250,450,20,true,0.4,0.0,50.0,0.8,2.0,5,0.04,0.35723586309523814,0.32328869047619047
2,250,450,20,true,0.4,0.0,50.0,0.8,2.0,5,0.06,0.5041852678571428,0.47274925595238093
2,250,450,20,true,0.4,0.0,50.0,0.8,2.0,5,0.08,0.5938430059523809,0.5608258928571428
2,250,450,20,true,0.4,0.0,50.0,0.8,2.0,5,0.1,0.6521577380952381,0.6167224702380952
2,250,450,20,true,0.4,0.0,50.0,0.8,4.0,5,0.0,0.09049479166666663,0.0457589285714286
2,250,450,20,true,0.4,0.0,50.0,0.8,4.0,5,0.02,0.19373139880952384,0.14053199404761907
2,250,450,20,true,0.4,0.0,50.0,0.8,4.0,5,0.04,0.4073660714285714,0.34644717261904767
2,250,450,20,true,0.4,0.0,50.0,0.8,4.0,5,0.06,0.5404575892857143,0.4771205357142857
2,250,450,20,true,0.4,0.0,50.0,0.8,4.0,5,0.08,0.6304873511904762,0.568359375
2,250,450,20,true,0.4,0.0,50.0,0.8,4.0,5,0.1,0.6839657738095238,0.6137462797619048
2,250,450,20,true,0.4,0.0,50.0,0.8,6.0,5,0.0,0.1676897321428571,0.11235119047619047
2,250,450,20,true,0.4,0.0,50.0,0.8,6.0,5,0.02,0.25930059523809523,0.18843005952380953
2,250,450,20,true,0.4,0.0,50.0,0.8,6.0,5,0.04,0.45265997023809523,0.37434895833333337
2,250,450,20,true,0.4,0.0,50.0,0.8,6.0,5,0.06,0.5881696428571428,0.49786086309523814
2,250,450,20,true,0.4,0.0,50.0,0.8,6.0,5,0.08,0.6624813988095238,0.5688244047619048
2,250,450,20,true,0.4,0.0,50.0,0.8,6.0,5,0.1,0.7104724702380952,0.6071428571428572
2,250,450,20,true,0.4,0.0,50.0,0.8,8.0,5,0.0,0.1861049107142857,0.09328497023809523
2,250,450,20,true,0.4,0.0,50.0,0.8,8.0,5,0.02,0.29640997023809523,0.18312872023809523
2,250,450,20,true,0.4,0.0,50.0,0.8,8.0,5,0.04,0.4799107142857143,0.3504464285714286
2,250,450,20,true,0.4,0.0,50.0,0.8,8.0,5,0.06,0.6080729166666667,0.46977306547619047
2,250,450,20,true,0.4,0.0,50.0,0.8,8.0,5,0.08,0.6846168154761905,0.5304129464285714
2,250,450,20,true,0.4,0.0,50.0,0.8,8.0,5,0.1,0.7274925595238095,0.5617559523809523
2,250,450,20,true,0.4,0.0,50.0,0.8,10.0,5,0.0,0.21186755952380953,0.09607514880952384
2,250,450,20,true,0.4,0.0,50.0,0.8,10.0,5,0.02,0.3211495535714286,0.16452752976190477
2,250,450,20,true,0.4,0.0,50.0,0.8,10.0,5,0.04,0.509765625,0.33696056547619047
2,250,450,20,true,0.4,0.0,50.0,0.8,10.0,5,0.06,0.6361607142857143,0.4402901785714286
2,250,450,20,true,0.4,0.0,50.0,0.8,10.0,5,0.08,0.6984747023809523,0.49730282738095233
2,250,450,20,true,0.4,0.0,50.0,0.8,10.0,5,0.1,0.7407924107142857,0.5243675595238095
2,250,450,20,true,0.4,0.0,50.0,0.8,12.0,5,0.0,0.3080357142857143,0.18870907738095233
2,250,450,20,true,0.4,0.0,50.0,0.8,12.0,5,0.02,0.42113095238095233,0.25130208333333337
2,250,450,20,true,0.4,0.0,50.0,0.8,12.0,5,0.04,0.5844494047619048,0.38885788690476186
2,250,450,20,true,0.4,0.0,50.0,0.8,12.0,5,0.06,0.6851748511904762,0.47033110119047616
2,250,450,20,true,0.4,0.0,50.0,0.8,12.0,5,0.08,0.7531622023809523,0.5116257440476191
2,250,450,20,true,0.4,0.0,50.0,0.8,12.0,5,0.1,0.7898065476190477,0.5234375
2,250,450,20,true,0.4,0.0,50.0,0.8,14.0,5,0.0,0.35639880952380953,0.21558779761904767
2,250,450,20,true,0.4,0.0,50.0,0.8,14.0,5,0.02,0.47107514880952384,0.27083333333333337
2,250,450,20,true,0.4,0.0,50.0,0.8,14.0,5,0.04,0.6266741071428572,0.39127604166666663
2,250,450,20,true,0.4,0.0,50.0,0.8,14.0,5,0.06,0.7147507440476191,0.45349702380952384
2,250,450,20,true,0.4,0.0,50.0,0.8,14.0,5,0.08,0.7698102678571428,0.4827008928571429
2,250,450,20,true,0.4,0.0,50.0,0.8,14.0,5,0.1,0.8107328869047619,0.4891183035714286
2,250,450,20,true,0.4,0.0,50.0,0.8,16.0,5,0.0,0.41034226190476186,0.24786086309523814
2,250,450,20,true,0.4,0.0,50.0,0.8,16.0,5,0.02,0.5181361607142857,0.28859747023809523
2,250,450,20,true,0.4,0.0,50.0,0.8,16.0,5,0.04,0.6578311011904762,0.3959263392857143
2,250,450,20,true,0.4,0.0,50.0,0.8,16.0,5,0.06,0.7489769345238095,0.46028645833333337
2,250,450,20,true,0.4,0.0,50.0,0.8,16.0,5,0.08,0.7908296130952381,0.45917038690476186
2,250,450,20,true,0.4,0.0,50.0,0.8,16.0,5,0.1,0.8272879464285714,0.47395833333333337
2,250,450,20,true,0.4,0.0,50.0,0.8,18.0,5,0.0,0.4352678571428571,0.27334449404761907
2,250,450,20,true,0.4,0.0,50.0,0.8,18.0,5,0.02,0.5440848214285714,0.30078125
2,250,450,20,true,0.4,0.0,50.0,0.8,18.0,5,0.04,0.6841517857142857,0.39025297619047616
2,250,450,20,true,0.4,0.0,50.0,0.8,18.0,5,0.06,0.7696242559523809,0.43619791666666663
2,250,450,20,true,0.4,0.0,50.0,0.8,18.0,5,0.08,0.8145461309523809,0.46047247023809523
2,250,450,20,true,0.4,0.0,50.0,0.8,18.0,5,0.1,0.8522135416666666,0.45219494047619047
2,250,450,20,true,0.4,0.0,50.0,0.8,20.0,5,0.0,0.37369791666666663,0.1559709821428571
2,250,450,20,true,0.4,0.0,50.0,0.8,20.0,5,0.02,0.4986049107142857,0.2042410714285714
2,250,450,20,true,0.4,0.0,50.0,0.8,20.0,5,0.04,0.6647135416666667,0.3205915178571429
2,250,450,20,true,0.4,0.0,50.0,0.8,20.0,5,0.06,0.7413504464285714,0.3680245535714286
2,250,450,20,true,0.4,0.0,50.0,0.8,20.0,5,0.08,0.794921875,0.38513764880952384
2,250,450,20,true,0.4,0.0,50.0,0.8,20.0,5,0.1,0.8284040178571428,0.3727678571428571
2,250,450,20,true,0.4,0.0,50.0,0.8,22.0,5,0.0,0.5134858630952381,0.3116629464285714
2,250,450,20,true,0.4,0.0,50.0,0.8,22.0,5,0.02,0.6303943452380952,0.32877604166666663
2,250,450,20,true,0.4,0.0,50.0,0.8,22.0,5,0.04,0.7537202380952381,0.3909040178571429
2,250,450,20,true,0.4,0.0,50.0,0.8,22.0,5,0.06,0.8095238095238095,0.41424851190476186
2,250,450,20,true,0.4,0.0,50.0,0.8,22.0,5,0.08,0.8543526785714286,0.40755208333333337
2,250,450,20,true,0.4,0.0,50.0,0.8,22.0,5,0.1,0.8792782738095238,0.3962053571428571
2,250,450,20,true,0.4,0.0,50.0,0.8,24.0,5,0.0,0.5452938988095238,0.32579985119047616
2,250,450,20,true,0.4,0.0,50.0,0.8,24.0,5,0.02,0.6655505952380952,0.33203125
2,250,450,20,true,0.4,0.0,50.0,0.8,24.0,5,0.04,0.7735305059523809,0.3892299107142857
2,250,450,20,true,0.4,0.0,50.0,0.8,24.0,5,0.06,0.8278459821428572,0.4029017857142857
2,250,450,20,true,0.4,0.0,50.0,0.8,24.0,5,0.08,0.8680245535714286,0.40578497023809523
2,250,450,20,true,0.4,0.0,50.0,0.8,24.0,5,0.1,0.888671875,0.37397693452380953
2,250,450,20,true,0.4,0.0,50.0,0.8,26.0,5,0.0,0.8754650297619048,0.7849702380952381
2,250,450,20,true,0.4,0.0,50.0,0.8,26.0,5,0.02,0.9821428571428571,0.7065662202380952
2,250,450,20,true,0.4,0.0,50.0,0.8,26.0,5,0.04,0.9855840773809523,0.6344866071428572
2,250,450,20,true,0.4,0.0,50.0,0.8,26.0,5,0.06,0.9694010416666666,0.5845424107142857
2,250,450,20,true,0.4,0.0,50.0,0.8,26.0,5,0.08,0.9499627976190477,0.5172991071428572
2,250,450,20,true,0.4,0.0,50.0,0.8,26.0,5,0.1,0.9410342261904762,0.44540550595238093
2,250,450,20,true,0.4,0.0,50.0,0.8,28.0,5,0.0,0.5870535714285714,0.37760416666666663
2,250,450,20,true,0.4,0.0,50.0,0.8,28.0,5,0.02,0.7181919642857143,0.37481398809523814
2,250,450,20,true,0.4,0.0,50.0,0.8,28.0,5,0.04,0.8104538690476191,0.41387648809523814
2,250,450,20,true,0.4,0.0,50.0,0.8,28.0,5,0.06,0.859375,0.43033854166666663
2,250,450,20,true,0.4,0.0,50.0,0.8,28.0,5,0.08,0.8916480654761905,0.4109933035714286
2,250,450,20,true,0.4,0.0,50.0,0.8,28.0,5,0.1,0.9068080357142857,0.37741815476190477
2,250,450,20,true,0.4,0.0,50.0,0.8,30.0,5,0.0,0.6154203869047619,0.41015625
2,250,450,20,true,0.4,0.0,50.0,0.8,30.0,5,0.02,0.7295386904761905,0.39657738095238093
2,250,450,20,true,0.4,0.0,50.0,0.8,30.0,5,0.04,0.8201264880952381,0.41564360119047616
2,250,450,20,true,0.4,0.0,50.0,0.8,30.0,5,0.06,0.8683035714285714,0.42113095238095233
2,250,450,20,true,0.4,0.0,50.0,0.8,30.0,5,0.08,0.8978794642857143,0.41387648809523814
2,250,450,20,true,0.4,0.0,50.0,0.8,30.0,5,0.1,0.9096912202380952,0.3699776785714286
2,250,450,20,true,0.4,0.02,50.0,0.8,0.0,5,0.0,0.0,0.0
2,250,450,20,true,0.4,0.02,50.0,0.8,0.0,5,0.02,0.0979352678571429,0.0979352678571429
2,250,450,20,true,0.4,0.02,50.0,0.8,0.0,5,0.04,0.3364955357142857,0.3364955357142857
2,250,450,20,true,0.4,0.02,50.0,0.8,0.0,5,0.06,0.48902529761904767,0.48902529761904767
2,250,450,20,true,0.4,0.02,50.0,0.8,0.0,5,0.08,0.5825892857142857,0.5825892857142857
2,250,450,20,true,0.4,0.02,50.0,0.8,0.0,5,0.1,0.6525297619047619,0.6525297619047619
